date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:37	3419/3419	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Oct%202025%2015:45:36%20GMT	https://love.matemade.vn/Home/SenderConfirm?box=0	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/Home/SenderConfirm44d2.html	(from )
22:45:38	0/0	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Oct%202025%2015:45:36%20GMT	https://love.matemade.vn/robots.txt		(from )
22:45:38	2036/2036	---M--	200	added ('OK')	text/css	etag:%221dc1d9dd7b055f4%22	https://love.matemade.vn/css/sender-confirm-common.css	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/css/sender-confirm-common.css	(from https://love.matemade.vn/Home/SenderConfirm?box=0)
22:45:38	14172/14172	---M--	200	added ('OK')	text/css	etag:%221dc3dd0688076dc%22	https://love.matemade.vn/css/review-gift.css	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/css/review-gift.css	(from https://love.matemade.vn/Home/SenderConfirm?box=0)
22:45:39	126/126	---M--	200	added ('OK')	text/css	etag:%221dc1e03ab2f217e%22	https://love.matemade.vn/css/review-gift-sender.css	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/css/review-gift-sender.css	(from https://love.matemade.vn/Home/SenderConfirm?box=0)
22:45:41	628/628	---M--	200	added ('OK')	text/css	etag:%221dc1da1ef89d774%22	https://love.matemade.vn/css/sender-final.css	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/css/sender-final.css	(from https://love.matemade.vn/Home/SenderConfirm?box=0)
22:45:41	26929/26929	---M--	200	added ('OK')	image/png	etag:%221dc18b72306ad31%22	https://love.matemade.vn/images/logo.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/logo.png	(from https://love.matemade.vn/Home/SenderConfirm?box=0)
22:45:42	58322/58322	---M--	200	added ('OK')	image/png	etag:%221dc18b7230627d2%22	https://love.matemade.vn/images/bg-foot-confirm.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/bg-foot-confirm.png	(from https://love.matemade.vn/Home/SenderConfirm?box=0)
22:45:46	15447/15447	---M--	200	added ('OK')	image/png	etag:%221dc18b72306f857%22	https://love.matemade.vn/images/thiep1.1.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/thiep1.1.png	(from https://love.matemade.vn/css/review-gift.css)
22:45:47	966/966	---M--	200	added ('OK')	image/png	etag:%221dc18b72306c7c6%22	https://love.matemade.vn/images/thiep1.2.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/thiep1.2.png	(from https://love.matemade.vn/css/review-gift.css)
22:45:47	1005/1005	---M--	200	added ('OK')	image/png	etag:%221dc18b72306c7ed%22	https://love.matemade.vn/images/thiep1.3.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/thiep1.3.png	(from https://love.matemade.vn/css/review-gift.css)
22:45:48	12441/12441	---M--	200	added ('OK')	image/png	etag:%221dc18b72306f499%22	https://love.matemade.vn/images/thiep2.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/thiep2.png	(from https://love.matemade.vn/css/review-gift.css)
22:45:50	276432/276432	---M--	200	added ('OK')	image/gif	etag:%221dc18b72302f3d0%22	https://love.matemade.vn/images/gift-final.gif	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/gift-final.gif	(from https://love.matemade.vn/Home/SenderConfirm?box=0)
22:46:29	1216618/1216618	---M--	200	added ('OK')	image/gif	etag:%221db7de98e9e26ea%22	https://love.matemade.vn/images/GIF.gif	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/GIF.gif	(from https://love.matemade.vn/Home/SenderConfirm?box=0)
22:47:22	293503/293503	---M--	200	added ('OK')	image/png	etag:%221dc18b72302be7f%22	https://love.matemade.vn/images/bg-final.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/bg-final.png	(from https://love.matemade.vn/css/sender-final.css)
22:53:44	4926956/4926956	---M--	200	added ('OK')	image/png	etag:%221dc159f98fa33ec%22	https://love.matemade.vn/images/bg-footer.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/bg-footer.png	(from https://love.matemade.vn/css/review-gift.css)
22:55:58	3754419/3754419	UR-M--	200	added ('Partial%20Content')	image/png	etag:%221dc159f988857b3%22	https://love.matemade.vn/images/bg-head.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/bg-head.png	(from https://love.matemade.vn/css/review-gift.css)
22:57:14	2937276/2937276	UR-M--	200	added ('Partial%20Content')	image/png	etag:%221dc2532f2475ebc%22	https://love.matemade.vn/images/bg-upload2.png	C:/My%20Web%20Sites/taiyeuhuong/love.matemade.vn/images/bg-upload2.png	(from https://love.matemade.vn/css/review-gift-sender.css)
